,0,1,2,3,4,5,6,7,8,9
0,network,learning,unit,input,model,training,function,neural,output,set
1,network,model,input,function,learning,neural,data,set,weight,unit
2,network,function,learning,model,input,neural,algorithm,system,set,method
3,network,learning,input,model,system,neural,data,weight,unit,training
4,model,learning,network,function,data,set,algorithm,input,error,unit
5,model,network,input,data,learning,function,set,system,number,algorithm
6,network,function,learning,input,model,algorithm,set,neural,system,data
7,network,learning,model,function,input,neural,system,set,training,data
8,network,model,input,function,learning,neural,algorithm,system,error,set
9,network,model,input,learning,layer,neural,function,neuron,data,algorithm
10,network,function,input,model,weight,neural,learning,output,error,algorithm
11,network,model,learning,set,algorithm,neural,input,function,information,error
12,network,model,input,function,learning,algorithm,pattern,set,neural,problem
13,network,input,unit,learning,model,function,set,algorithm,neural,data
14,network,model,learning,function,input,training,neural,unit,data,algorithm
15,network,model,function,learning,neural,input,system,set,training,data
16,network,model,input,set,data,neural,learning,system,function,training
17,network,function,set,model,input,data,weight,system,learning,training
18,network,algorithm,neural,function,model,data,learning,system,set,point
19,model,network,data,input,system,learning,set,function,weight,neural
20,network,learning,model,function,neural,algorithm,data,input,system,method
21,model,network,algorithm,learning,set,input,data,function,problem,training
22,network,function,learning,model,algorithm,input,neural,set,unit,system
23,network,model,neural,learning,function,input,set,neuron,unit,system
24,network,learning,model,function,neural,system,input,set,training,result
25,network,model,input,learning,function,neural,system,unit,set,weight
26,network,model,learning,function,neural,system,input,unit,set,data
27,network,model,set,learning,function,data,algorithm,neural,system,input
28,network,learning,model,neural,set,input,function,data,algorithm,unit
29,network,learning,model,neural,input,function,system,error,algorithm,set
